beneficiaire_normalise,ode_thematique,ode_sous_categorie,ode_confiance,ode_date_recherche,ode_source
COLLEGE CAMILLE CLAUDEL,Éducation,Collège (enseignement secondaire),1.0,2026-04-20,llm_gemini
COLLEGE CAMILLE SEE,Éducation,Collège,1.0,2026-04-20,llm_gemini
COLLEGE CLAUDE CHAPPE,Éducation,Collège public,0.97,2026-02-18,llm_claude
COLLEGE CLAUDE DEBUSSY,Éducation,Collège public,0.99,2026-02-18,llm_claude
COLLEGE CLAUDE MONET,Éducation,Enseignement secondaire (Collège),1.0,2026-04-20,llm_gemini
COLLEGE COLETTE BESSON,Éducation,Collège (enseignement secondaire),1.0,2026-04-20,llm_gemini
COLLEGE DANIEL MAYER,Éducation,Enseignement secondaire (Collège),1.0,2026-04-20,llm_gemini
COLLEGE DE STAEL,Éducation,Enseignement secondaire (Collège),1.0,2026-04-20,llm_gemini
COLLEGE EDGAR VARESE,Éducation,Collège,1.0,2026-04-20,llm_gemini
COLLEGE EDMOND MICHELET,Éducation,Enseignement secondaire (Collège),1.0,2026-04-20,llm_gemini
COLLEGE EDOUARD PAILLERON,Éducation,Collège,1.0,2026-04-20,llm_gemini
COLLEGE ELSA TRIOLET,Éducation,Collège,1.0,2026-04-20,llm_gemini
COLLEGE FRANCOIS COUPERIN,Éducation,Enseignement secondaire (Collège),1.0,2026-04-20,llm_gemini
COLLEGE FRANCOIS VILLON,Éducation,Collège,0.98,2026-02-18,llm_claude
COLLEGE FRANCOISE SELIGMANN,Éducation,Établissement scolaire (Collège),1.0,2026-04-20,llm_gemini
COLLEGE GEORGES BRASSENS,Éducation,Collège,1.0,2026-04-20,llm_gemini
COLLEGE GEORGES CLEMENCEAU,Éducation,Collège,1.0,2026-04-20,llm_gemini
COLLEGE GEORGES COURTELINE,Éducation,Établissement scolaire (Collège),1.0,2026-04-20,llm_gemini
COLLEGE GEORGES ROUAULT,Éducation,Enseignement secondaire (Collège),1.0,2026-04-20,llm_gemini
COLLEGE GERMAINE TILLION,Éducation,Enseignement secondaire,1.0,2026-04-20,llm_gemini
COLLEGE GUILLAUME APOLLINAIRE,Éducation,Collège,1.0,2026-04-20,llm_gemini
COLLEGE GUILLAUME BUDE,Éducation,Collège (enseignement secondaire),1.0,2026-04-20,llm_gemini
COLLEGE GUSTAVE FLAUBERT,Éducation,Collège,0.99,2026-02-18,llm_claude
COLLEGE GUY FLAVIEN,Éducation,Collège,1.0,2026-04-20,llm_gemini
COLLEGE HECTOR BERLIOZ,Éducation,Collège public,0.99,2026-02-18,llm_claude
COLLEGE HONORE DE BALZAC,Éducation,Enseignement secondaire (Collège),1.0,2026-04-20,llm_gemini
COLLEGE JACQUES PREVERT,Éducation,Établissement scolaire (Collège),1.0,2026-04-20,llm_gemini
COLLEGE JANSON DE SAILLY,Éducation,Collège public,0.99,2026-02-18,llm_claude
COLLEGE JEAN BAPTISTE SAY,Éducation,Enseignement secondaire (Collège),1.0,2026-04-20,llm_gemini
COLLEGE JEAN-BAPTISTE POQUELIN,Éducation,Établissement scolaire (Collège),1.0,2026-04-20,llm_gemini
COLLEGE JEAN-BAPTISTE-CLEMENT,Éducation,Collège (enseignement secondaire),1.0,2026-04-20,llm_gemini
COLLEGE JULES ROMAINS,Éducation,Établissement scolaire (Collège),1.0,2026-04-20,llm_gemini
COLLEGE LA GRANGE AUX BELLES,Éducation,Collège,1.0,2026-04-20,llm_gemini
COLLEGE LEON GAMBETTA,Éducation,Collège (enseignement secondaire),1.0,2026-04-20,llm_gemini
COLLEGE LOUISE MICHEL,Éducation,Établissement scolaire (Collège),1.0,2026-04-20,llm_gemini
COLLEGE MODIGLIANI,Éducation,Enseignement secondaire (Collège),1.0,2026-04-20,llm_gemini
COLLEGE OCTAVE GREARD,Éducation,Enseignement secondaire (Collège),1.0,2026-04-20,llm_gemini
COLLEGE PAUL VERLAINE,Éducation,Établissement scolaire (Collège),1.0,2026-04-20,llm_gemini
COLLEGE PIERRE ALVISET,Éducation,Collège Pierre Alviset,0.97,2026-02-18,llm_claude
COLLEGE PIERRE MENDES FRANCE,Éducation,Collège,1.0,2026-04-20,llm_gemini
COLLEGE RAYMOND QUENEAU,Éducation,Collège,1.0,2026-04-20,llm_gemini
COLLEGE RODIN,Éducation,Établissement scolaire (Collège),1.0,2026-04-20,llm_gemini
COLLEGE SAINT-EXUPERY,Éducation,Enseignement secondaire (Collège),1.0,2026-04-20,llm_gemini
COLLEGE SUZANNE LACORE,Éducation,Enseignement secondaire,1.0,2026-04-20,llm_gemini
COLLEGE THOMAS MANN,Éducation,Collège Thomas Mann,0.97,2026-02-18,llm_claude
COLLEGE W.A. MOZART,Éducation,Enseignement secondaire (Collège),1.0,2026-04-20,llm_gemini
COLOMBBUS,Économie,Insertion professionnelle et entrepreneuriat,0.75,2026-02-18,llm_claude
COMEDE COMITE SANTE DES EXILES,Santé,Santé des exilés et réfugiés,0.9,2026-02-18,llm_claude
COMIT LOCAL LE LOGEMENT AUTO JEUNE,Logement,Comité local pour le logement autonome des jeunes,0.9,2026-02-18,llm_claude
COMIT NAT OLYMPIQ SPORTIF FRAN,Sport,Comité National Olympique et Sportif Français (CNOSF),0.99,2026-02-18,llm_claude
COMITE ACTION SOCIAL OUTRE MER,Social - Solidarité,Action sociale en faveur des ultramarins,0.9,2026-02-18,llm_claude
COMITE ACTIONS LOGEMENT,Logement,Défense du droit au logement,1.0,2026-04-20,llm_gemini
COMITE CHAMPS ELYSEES,Économie,Comité des Champs-Élysées - promotion commerciale et animation,0.85,2026-02-18,llm_claude
COMITE CONTRE L ESCLAVAGE MODERNE,International,Lutte contre l'esclavage moderne et la traite des êtres humains,0.75,2026-02-18,llm_claude
COMITE D ORGA DES CHAMP DU MONDE,Sport,Comité d'organisation des championnats du monde,0.8,2026-02-18,llm_claude
COMITE D ORGANI FRANCE VOLLEY,Sport,Fédération et organisation sportive,1.0,2026-04-20,llm_gemini
COMITE D'ORGA DES CHAMP DU MONDE,Sport,Organisation de grands événements sportifs,0.95,2026-04-20,llm_gemini
COMITE D'ORGA. DES CHAMP. DU MONDE,Sport,Événement sportif international,1.0,2026-04-20,llm_gemini
COMITE D'ORGAN FRANCE TIR A L'ARC,Sport,Organisation d'événements sportifs (Tir à l'arc),1.0,2026-04-20,llm_gemini
COMITE DE PARIS F S G T,Sport,Fédération Sportive et Gymnique du Travail - comité parisien,0.95,2026-02-18,llm_claude
COMITE DEP OLYMPIQUE ET SPORTIF DE,Sport,Comité départemental olympique et sportif,0.98,2026-02-18,llm_claude
COMITE DEPARTEMENTAL,Sport,"Comité départemental sportif (nom tronqué, probablement olympique ou sportif)",0.6,2026-02-18,llm_claude
COMITE DEPARTEMENTAL PARIS LIGUE CA,Sport,Comité départemental sportif (Ligue contre le cancer ou canoë-kayak),0.7,2026-02-18,llm_claude
COMITE DU FG SAINT HONORE,Économie,Comité de commerçants du Faubourg Saint-Honoré,0.8,2026-02-18,llm_claude
COMITE LOCAL D ORGA COUPES MONDE,Sport,Comité local d'organisation des Coupes du Monde,0.92,2026-02-18,llm_claude
COMMIS ADM BOURSE TRAVAIL,Administration,Commission administrative de la Bourse du Travail,0.88,2026-02-18,llm_claude
COMPAGNIE A L AFFUT,Culture,Compagnie de spectacle vivant (théâtre/danse),0.92,2026-02-18,llm_claude
COMPAGNIE DU 20E,Culture,Compagnie théâtrale ou artistique du 20e arrondissement,0.8,2026-02-18,llm_claude
COMPAGNONS BATISSEURS ILE DE FRANCE,Logement,Auto-réhabilitation et amélioration de l'habitat,0.8,2026-02-18,llm_claude
COMPAGNONS DE LA NUIT,Social - Solidarité,Aide aux sans-abri et hébergement d'urgence,0.95,2026-02-18,llm_claude
CONCERTS PASDELOUP,Culture,Musique symphonique,1.0,2026-04-20,llm_gemini
CONNAITRE PROTEGER NATURE VAL DE SE,Environnement,Protection de la nature dans le Val-de-Seine,0.95,2026-02-18,llm_claude
CONSEIL DEP DE L ACCES AU DROIT,Administration,Conseil départemental de l'accès au droit - aide juridique,0.85,2026-02-18,llm_claude
CONSEIL DEP DE L'ACCES AU DROIT,Social - Solidarité,Accès au droit et aide juridique,0.95,2026-04-20,llm_gemini
CONSEIL DEPARTEMENT PARENTS,Éducation,Fédération de parents d'élèves,0.95,2026-04-20,llm_gemini
CONSEIL DEPARTEMENT PARENTS D'ELEVE,Éducation,Association de parents d'élèves,1.0,2026-04-20,llm_gemini
CONSEIL DEPARTEMENT PARENTS ELEVES,Éducation,Association de parents d'élèves,1.0,2026-04-20,llm_gemini
CONSERVATOIRE NATIONAL ARTS ET METI,Éducation,Enseignement supérieur et formation professionnelle (CNAM),0.97,2026-02-18,llm_claude
CONST ARCHITECT URBAIN ENVIRONNEMEN,Environnement,"Architecture, urbanisme et environnement",0.6,2026-02-18,llm_claude
CONSULTATION LIEU ACCUEIL PSYCH,Santé,Santé mentale et accueil psychologique,1.0,2026-04-20,llm_gemini
COOP MIJOTEE,Économie,Coopérative alimentaire / insertion économique,0.6,2026-02-18,llm_claude
COOPERATIVE DE RUE ET DE CIRQUE,Culture,Arts du cirque et spectacle vivant,0.9,2026-02-18,llm_claude
COOPERATIVE DE SANTE RICHERAND,Santé,Coopérative de santé / centre de soins,0.95,2026-02-18,llm_claude
COUP DE MAIN,Social - Solidarité,Insertion par l'activité économique et réemploi,0.9,2026-04-20,llm_gemini
COUP DE POUCE,Éducation,Association Coup de Pouce - soutien éducatif / accompagnement scolaire,0.65,2026-02-18,llm_claude
CRAVATE SOLIDARE,Économie,Insertion professionnelle par le don de vêtements et coaching vestimentaire,0.85,2026-02-18,llm_claude
CRECHE AVENIR,Social - Petite enfance,Crèche,1.0,2026-04-20,llm_gemini
CRECHE GAN ESTHER,Social - Petite enfance,Crèche,1.0,2026-04-20,llm_gemini
CRECHE GAN MENAHEM,Social - Petite enfance,Crèche associative,0.97,2026-02-18,llm_claude
CRECHE LAIQUE ST FARGEAU,Social - Petite enfance,Crèche,0.99,2026-02-18,llm_claude
CRECHE PARENTALE CALINOT SINGE,Social - Petite enfance,Crèche parentale,1.0,2026-04-20,llm_gemini
CRECHE PARENTALE FARANDOLE,Social - Petite enfance,Crèche parentale,0.99,2026-02-18,llm_claude
CRECHE PARENTALE LES PETITS LOUPS,Social - Petite enfance,Crèche parentale,0.99,2026-02-18,llm_claude
CREDIT AGRICOLE SA,Économie,Secteur bancaire,0.9,2026-04-20,llm_gemini
CRESCENDO,Social - Petite enfance,Réseau de crèches et établissements petite enfance,0.85,2026-02-18,llm_claude
CROIX ROUGE,Social - Solidarité,Aide humanitaire et sociale d'urgence,1.0,2026-04-20,llm_gemini
CROIX ROUGE FRANCAISE,Social - Solidarité,Secours humanitaire et action sociale,1.0,2026-04-20,llm_gemini
CTE FR DE SOUTIEN GK SAVAR BANGLA,International,Coopération internationale / soutien au Bangladesh (Gonoshasthaya Kendra Savar),0.88,2026-02-18,llm_claude
CTE ORG CHAMP MONDE HANDBALL MAS 20,Sport,Organisation de grands événements sportifs,1.0,2026-04-20,llm_gemini
CTE PARALYMPIQUE SPORTIF FR C P S F,Sport,Comité paralympique et handisport,1.0,2026-04-20,llm_gemini
CTR REGION INFORMATION PREVENTION,Santé,"Centre régional d'information et de prévention (CRIPS) - prévention santé, VIH/SIDA",0.82,2026-02-18,llm_claude
CTRE ACCU MEDIC REINSER ECON ET SOC,Social - Solidarité,Centre d'accueil médical et de réinsertion économique et sociale,0.85,2026-02-18,llm_claude
CTRE ETUDES FORMATION D INSERT LANG,Social - Solidarité,Centre d'études et formation pour l'insertion par la langue (public migrant/réfugié),0.8,2026-02-18,llm_claude
CTRE INFORMAT DROITS FEMMES PARIS,Social - Solidarité,Information sur les droits des femmes et des familles,1.0,2026-04-20,llm_gemini
CTRE INTERNATIONAL CREATIONS THEATR,Culture,Créations théâtrales - Centre international,0.95,2026-02-18,llm_claude
CTRE LOGEME JEUNES,Logement,Centre de logement pour jeunes (FJT/résidence jeunes travailleurs),0.95,2026-02-18,llm_claude
CTRE LOGEME JEUNES TRAVAI ETUDIA,Logement,Centre de logement pour jeunes travailleurs et étudiants,0.9,2026-02-18,llm_claude
CTRE LOGEME JEUNES TRAVAI ETUDIA ST,Logement,Foyer de jeunes travailleurs et étudiants,1.0,2026-04-20,llm_gemini
CTRE NAL DRAMAT CONTEMP - THEAT OUV,Culture,Théâtre contemporain,1.0,2026-04-20,llm_gemini
CTRE NAL DRAMAT CONTEMP THEAT OUV,Culture,Centre national dramatique contemporain - théâtre ouvert,0.97,2026-02-18,llm_claude
CTRE NAT DE LA RECHERCHE SCIENTIF,Éducation,Recherche scientifique (CNRS),0.95,2026-02-18,llm_claude
CTRE NAT DE LA RECHERCHE SCIENTIFIQ,Éducation,Recherche scientifique (CNRS),0.95,2026-02-18,llm_claude
CTRE NATION  RECHERCHE SCIENTIFIQUE,Éducation,Recherche scientifique (CNRS),1.0,2026-04-20,llm_gemini
CTRE NATION DRAMATURG CONTEMPORAIN,Culture,Centre National de Dramaturgie Contemporaine,1.0,2026-04-20,llm_gemini
CULTURE DU COEUR PARIS,Culture,Accès à la culture pour les personnes en précarité,0.85,2026-02-18,llm_claude
CYCLOFFICINE DE PARIS,Transport,Atelier participatif de réparation de vélos / mobilité douce,0.85,2026-02-18,llm_claude
CYGOGNE,Social - Petite enfance,Structure petite enfance / crèche associative,0.55,2026-02-18,llm_claude
D UNE LANGUE A L AUTRE DULALA,Éducation,Éducation au plurilinguisme et langues maternelles,0.85,2026-02-18,llm_claude
D2L,Économie,Insertion économique ou développement local,0.4,2026-02-18,llm_claude
DADOUN PERE ET FILS,Économie,Commerce / entreprise familiale,0.5,2026-02-18,llm_claude
DALLE AUX CHAPS,Culture,Compagnie de spectacle vivant / arts de rue,0.55,2026-02-18,llm_claude
DE L'INFANS A L'ENFANT,Social - Petite enfance,Soutien à la parentalité et développement de l'enfant,0.95,2026-04-20,llm_gemini
DEBROUILLE COMPAGNIE,Culture,Compagnie de spectacle vivant / théâtre,0.8,2026-02-18,llm_claude
DECK,Social - Solidarité,Insertion sociale,0.7,2026-04-20,llm_gemini
DEMOCRATIE ET ENTRAIDE EN SYRIE,International,Aide humanitaire et soutien à la démocratie,0.9,2026-04-20,llm_gemini
DEPARTEMENTALE INFORMATION LOGE,Logement,Information et conseil sur le logement (ADIL),0.95,2026-04-20,llm_gemini
DEPAUL FRANCE,Social - Solidarité,Lutte contre l'exclusion et aide aux sans-abri,1.0,2026-04-20,llm_gemini
DES CINEMAS INDEPENDANTS,Culture,Cinéma,1.0,2026-04-20,llm_gemini
DES THEATRES DE LA CARTOUCHERIE,Culture,Théâtre et spectacle vivant,1.0,2026-04-20,llm_gemini
DESCODEUSES,Éducation,Formation professionnelle au numérique,0.95,2026-04-20,llm_gemini
DEVELOPP DE LA DANSE A PARIS,Culture,Développement de la danse à Paris,0.97,2026-02-18,llm_claude
DIAGNOSTIC ET TRAJECTOIRES,Social - Solidarité,Diagnostic social et accompagnement de parcours,0.55,2026-02-18,llm_claude
DIR REG FINANCES PUBLIQUES IDF PARI,Administration,Direction régionale des finances publiques,0.97,2026-02-18,llm_claude
DISTRICT PARISIEN DE FOOTBALL,Sport,Fédération sportive - football parisien,0.99,2026-02-18,llm_claude
DIVERS CREANCIERS GRATUITE TITRES TRANSPORT,Transport,Gratuité des titres de transport,0.9,2026-02-18,llm_claude
DIVERS CULTUR SOC  ENFANCE COULEUR,Social - Petite enfance,Soutien à l'enfance et mixité,0.85,2026-04-20,llm_gemini
DIVERS CULTUR SOC - ENFANCE COULEUR,Social - Petite enfance,Petite enfance et parentalité,0.9,2026-04-20,llm_gemini
DIVERS CULTUR SOC ENFANCE COULEUR,Culture,Activités culturelles et socioculturelles pour l'enfance,0.6,2026-02-18,llm_claude
DOMREMY BASKET 13,Sport,Club de basket-ball (13e arrondissement),0.99,2026-02-18,llm_claude
DROIT A L INITIATIVE ECONOMIQUE,Économie,Microfinance et insertion économique,1.0,2026-04-20,llm_gemini
DROITS D'URGENCE,Social - Solidarité,Accès au droit pour les personnes précaires,1.0,2026-04-20,llm_gemini
DU BLEU DANS LES YEUX,Culture,Spectacle vivant et théâtre,0.9,2026-04-20,llm_gemini
DULAC CINEMAS,Culture,Cinéma / exploitation de salles de cinéma,0.97,2026-02-18,llm_claude
EAU DE PARIS,Environnement,Régie municipale de l'eau potable,0.8,2026-02-18,llm_claude
ECOD'AIR EI,Économie,Insertion par l'activité économique (EI),0.95,2026-04-20,llm_gemini
ECOLE CHIEN GUIDE AVEUGLE PARIS REG,Social - Solidarité,Formation de chiens guides pour personnes aveugles / handicap visuel,0.93,2026-02-18,llm_claude
ECOLE D ECONOMIE DE PARIS,Éducation,Enseignement supérieur et recherche en économie (Paris School of Economics),0.95,2026-02-18,llm_claude
ECOLE DE LA 2E CHANCE DE PARIS,Éducation,Formation et insertion des jeunes décrocheurs,0.95,2026-02-18,llm_claude
ECOLE DE LA DEUXIEME CHANCE,Éducation,Formation et insertion des jeunes décrocheurs (E2C),0.95,2026-02-18,llm_claude
ECOLE DES HAUTES ETUDES EN,Éducation,Enseignement supérieur et recherche (EHESS),1.0,2026-04-20,llm_gemini
ECOLE DU BREUIL,Éducation,École d'horticulture et de paysage de la Ville de Paris,0.9,2026-02-18,llm_claude
ECOLE HAUTES ETUDES SCIENCES SOCIAL,Éducation,École des Hautes Études en Sciences Sociales (EHESS),0.99,2026-02-18,llm_claude
ECOLE NAT SUP DE CHIMIE DE PARIS,Éducation,École nationale supérieure de chimie - enseignement supérieur,0.97,2026-02-18,llm_claude
ECOLE NORMALE SOCIALE,Éducation,Formation en travail social,0.92,2026-02-18,llm_claude
ECOLE NORMALE SUPERIEURE,Éducation,Enseignement supérieur et recherche,0.97,2026-02-18,llm_claude
ECOLE PARENTS EDUCATEURS IDF,Éducation,Soutien à la parentalité et éducation,0.82,2026-02-18,llm_claude
ECOLE PRATIQUE DES HAUTES ETUDES,Éducation,Enseignement supérieur et recherche,0.95,2026-02-18,llm_claude
ECOLE SCHOOL FOR TODAY,Éducation,Enseignement et pédagogie,1.0,2026-04-20,llm_gemini
ECOUTE INTERCULT DISPOSIT INTER PSY,Santé,Soutien psychologique interculturel / santé mentale,0.82,2026-02-18,llm_claude
EFIDIS SA HABITATION LOYER MODERE,Logement,HLM - habitation à loyer modéré,0.99,2026-02-18,llm_claude
ELECTRICIENS SANS FRONTIERES,International,Coopération internationale – accès à l'énergie dans les pays en développement,0.95,2026-02-18,llm_claude
ELOGIE  SIEMP,Logement,Bailleur social,1.0,2026-04-20,llm_gemini
ELOGIE - SIEMP,Logement,Bailleur social,1.0,2026-04-20,llm_gemini
ELOGIE SIEMP,Logement,Bailleur social parisien (ex-SIEMP / Elogie),0.97,2026-02-18,llm_claude
ELOGIE-SIEMP,Logement,Bailleur social,1.0,2026-04-20,llm_gemini
ELOQUENTIA,Éducation,Art oratoire et jeunesse,1.0,2026-04-20,llm_gemini
EMBIX,Environnement,Réseaux de chaleur et énergie urbaine,0.6,2026-02-18,llm_claude
EMILE ET ROSA,Social - Petite enfance,Structure d'accueil petite enfance,0.65,2026-02-18,llm_claude
EMMAUS ALTERNATIVE,Social - Solidarité,Lutte contre l'exclusion et insertion,1.0,2026-04-20,llm_gemini
EMMAUS ALTERNATIVES,Social - Solidarité,Insertion sociale et lutte contre l'exclusion,1.0,2026-04-20,llm_gemini
EMMAUS CONNECT FONDATEUR ABBE PIERRE,Social - Solidarité,Inclusion numérique et précarité,1.0,2026-04-20,llm_gemini
EMMAUS DEFI,Social - Solidarité,Insertion par l'activité économique,1.0,2026-04-20,llm_gemini
EMMAUS DEFI - FONDATEUR ABBE PIERRE,Social - Solidarité,Lutte contre l'exclusion et insertion,1.0,2026-04-20,llm_gemini
EMMAUS HABITAT,Logement,Logement social et gestion immobilière sociale,1.0,2026-04-20,llm_gemini
EMMAUS SOLIDARITE,Social - Solidarité,Lutte contre l'exclusion et hébergement d'urgence,1.0,2026-04-20,llm_gemini
ENERCITIF,Environnement,Énergies renouvelables citoyennes,1.0,2026-04-20,llm_gemini
ENFANCES AU CINEMA,Culture,Éducation à l'image et cinéma jeune public,0.9,2026-02-18,llm_claude
ENFANT PRESENT,Social - Petite enfance,Protection de l'enfance / soutien à la parentalité,0.78,2026-02-18,llm_claude
ENFANTS DE LA GOUTTE D OR,Social - Solidarité,Association d'aide aux enfants et familles du quartier Goutte d'Or (18e),0.85,2026-02-18,llm_claude
ENFANTS DU CANAL,Social - Solidarité,Aide aux sans-abri et personnes en grande précarité,0.95,2026-02-18,llm_claude
ENSEMBLE ET SOLIDAIRES UNION NATION,Social - Solidarité,Union nationale d'entraide et de solidarité,0.85,2026-02-18,llm_claude
ENSEMBLE INTER CONTEMPORAIN,Culture,Ensemble de musique contemporaine (EIC),0.98,2026-02-18,llm_claude
ENSEMBLE PARIS EMPLOI COMPETENCES,Économie,Insertion professionnelle et emploi,0.9,2026-02-18,llm_claude
ENTOURAGE,Social - Solidarité,Lien social et personnes sans-abri,1.0,2026-04-20,llm_gemini
ENTR'AIDE,Social - Solidarité,Entraide et action sociale,0.9,2026-04-20,llm_gemini
ENTREPRENDRE POUR HUMANISER,Social - Solidarité,Insertion et aide humanitaire,0.7,2026-02-18,llm_claude
ENTREPRENEURS DU MONDE,International,Aide au développement et microfinance,0.95,2026-04-20,llm_gemini
ENTREPRISE SOCIALE POUR L HABITAT,Logement,Bailleur social / entreprise sociale pour l'habitat,0.95,2026-02-18,llm_claude
ENTREPRISE SOCIALE POUR L'HABITAT,Logement,Logement social (ESH),1.0,2026-04-20,llm_gemini
ENVIE TRAPPES EN YVELINES,Social - Solidarité,Insertion et économie circulaire,0.95,2026-04-20,llm_gemini
ENVOLUDIA,Social - Solidarité,"Accompagnement du handicap (polyhandicap, enfants et adultes)",0.9,2026-02-18,llm_claude
EOS IMAGING,Santé,Imagerie médicale et innovation,0.95,2026-04-20,llm_gemini
EPCS CAMPUS CONDORCET,Éducation,Campus universitaire et recherche (Campus Condorcet),0.95,2026-02-18,llm_claude
EPITECH ECOLE INFORMAT NOUV TECHNO,Éducation,Enseignement supérieur et informatique,1.0,2026-04-20,llm_gemini
ERDA,Culture,Éducation Recherche Développement Artistique,0.75,2026-02-18,llm_claude
ERDA EDUCAT RECHER DEVEL ARTIST,Culture,Éducation et recherche artistique (ERDA),0.9,2026-02-18,llm_claude
ERDA EDUCATION RECHERCHE,Éducation,Enseignement et recherche,0.95,2026-04-20,llm_gemini
ERIGERE,Logement,Bailleur social (logement social),0.93,2026-02-18,llm_claude
ERILIA,Logement,Bailleur social / logement social,0.9,2026-02-18,llm_claude
ERNEST CIRCUITCOURT RESTAURATION,Social - Solidarité,Aide alimentaire et circuits courts,0.95,2026-04-20,llm_gemini
ESP CULTURE UNIVERSITAIRE JUIF EURO,Culture,Espace de culture universitaire juif européen,0.8,2026-02-18,llm_claude
ESPACE 19,Social - Solidarité,Centre social et culturel du 19e arrondissement,0.8,2026-02-18,llm_claude
ESPACE PSYCHANALYTIQUE ORIENT CONSU,Santé,Santé mentale et psychanalyse,0.95,2026-04-20,llm_gemini
ESPACES,Environnement,Écologie urbaine et insertion par les métiers de l'environnement,0.9,2026-04-20,llm_gemini
ESPACIL HABITAT SA D HABITATIONS,Logement,Société d'habitations / logement social,0.92,2026-02-18,llm_claude
ESPERANCE SPORTIVE PARISIENNE,Sport,Club sportif parisien,0.95,2026-02-18,llm_claude
ESPEREM,Social - Solidarité,ESPEREM - association d'insertion et d'hébergement pour personnes en difficulté,0.9,2026-02-18,llm_claude
ESPERO,Social - Solidarité,Insertion des réfugiés et exilés,0.95,2026-04-20,llm_gemini
ESPOIR CENTRES FAMILIAUX JEUNE,Social - Solidarité,Aide aux familles et jeunes en difficulté,0.85,2026-02-18,llm_claude
ESTRELIA,Social - Petite enfance,Soutien à la parentalité et petite enfance,0.9,2026-04-20,llm_gemini
ETE PARISIEN,Culture,Animations et événements estivaux parisiens,0.55,2026-02-18,llm_claude
ETERNEL SOLIDAIRE,Social - Solidarité,Tiers-lieu solidaire et lien social,0.95,2026-04-20,llm_gemini
ETOILE DU NORD,Culture,Salle de spectacle / théâtre (18e arrondissement),0.85,2026-02-18,llm_claude
ETS PUB AMENAGEMENT UNIVERSITAIRE I,Éducation,Aménagement universitaire (EPAURIF ou similaire),0.9,2026-02-18,llm_claude
ETS PUB PAL DECOUVERTE CI SCI INDUS,Culture,Établissement public du Palais de la Découverte - Cité des Sciences et de l'Industrie,0.9,2026-02-18,llm_claude
ETS PUBLIC PARC GRANDE,Culture,Établissement public du Parc et de la Grande Halle de la Villette,0.95,2026-02-18,llm_claude
ETS PUBLIC PARC GRANDE HALLE VILLET,Culture,Établissement culturel et parc urbain,1.0,2026-04-20,llm_gemini
ETUDES ET CHANTIERS ILE DE FRANCE,Économie,Insertion professionnelle par les chantiers,0.8,2026-02-18,llm_claude
EXPERIMENTATION TERRIT CTRE CHOMAGE,Économie,Expérimentation Territoires Zéro Chômeur de Longue Durée,0.95,2026-02-18,llm_claude
EXPERIMENTATION TERRITORIALE CONTRE,Économie,Expérimentation territoriale contre le chômage de longue durée (ETCLD / Territoires zéro chômeur),0.9,2026-02-18,llm_claude
EXTRAMUROS L ASSOCIATION,Environnement,"Réemploi de matériaux, économie circulaire, menuiserie solidaire",0.85,2026-02-18,llm_claude
EXTRAMUROS L'ASSOCIATION,Environnement,Économie circulaire et réemploi (menuiserie solidaire),0.85,2026-04-20,llm_gemini
FAB CITY GRAND PARIS,Économie,Économie circulaire et innovation urbaine,0.9,2026-04-20,llm_gemini
FACE PARIS,Économie,Insertion économique et lutte contre les discriminations en entreprise,0.85,2026-02-18,llm_claude
FAMILLE CATHOLIQUE,Social - Petite enfance,Soutien à la parentalité et aux familles,0.85,2026-04-20,llm_gemini
FED ACTEURS SOLIDARIT ILE DE FRANCE,Social - Solidarité,Fédération des acteurs de la solidarité - lutte contre l'exclusion,0.97,2026-02-18,llm_claude
FEDER CENTRE SOCIAUX ET SOC CULTUR,Social - Solidarité,Fédération des centres sociaux et socioculturels,0.8,2026-02-18,llm_claude
FEDER FRANCAISE GYMNASTIQUE,Sport,Fédération Française de Gymnastique,0.99,2026-02-18,llm_claude
FEDERATION DE LA LIGUE DE L ENSEIGNEMENT,Éducation,Éducation populaire,1.0,2026-04-20,llm_gemini
FEDERATION DES CRECHES GRIBOUILLE,Social - Petite enfance,Fédération de crèches,0.99,2026-02-18,llm_claude
FEDERATION ENVIE,Économie,Insertion par l'activité économique et recyclage,0.95,2026-04-20,llm_gemini
FEDERATION PARIS LIGUE DE L ENSEIGN,Éducation,Éducation populaire - Ligue de l'Enseignement,0.95,2026-02-18,llm_claude
FEDERATION UNIE DES AUBERGES DE JEU,Éducation,Jeunesse et auberges de jeunesse,0.9,2026-04-20,llm_gemini
FERRAILLE,Culture,Arts visuels et édition culturelle,0.8,2026-04-20,llm_gemini
FESTIVAL D AUTOMNE A PARIS,Culture,Festival pluridisciplinaire,1.0,2026-04-20,llm_gemini
FIT UNE FEMME UN TOIT,Social - Solidarité,Hébergement et aide aux femmes victimes de violences,0.95,2026-02-18,llm_claude
FLORA TRISTAN LA REGIE DE QUARTIER,Social - Solidarité,Régie de quartier – insertion et lien social,0.85,2026-02-18,llm_claude
FLORA TRISTAN REGIE QUARTIER 14EME,Social - Solidarité,Régie de quartier et insertion par l'activité,0.95,2026-04-20,llm_gemini
FLORIMONT,Social - Solidarité,Centre social et vie de quartier,0.85,2026-04-20,llm_gemini
FONCIERE D'HABITAT ET HUMANISME,Logement,Logement social et lutte contre le mal-logement,1.0,2026-04-20,llm_gemini
FONCIERE DE LA VILLE DE PARIS,Logement,Foncière publique / gestion immobilière Ville de Paris,0.85,2026-02-18,llm_claude
